policy_name,policy_zone,period,policy_month,policy_hour,policy_requirement
SOD,SOD_Zone,203002,2,21,3181.5
SOD,SOD_Zone,203002,2,22,3024
SOD,SOD_Zone,203002,2,23,2772
SOD,SOD_Zone,203002,2,24,2520
SOD,SOD_Zone,203003,3,1,2137.5
SOD,SOD_Zone,203003,3,2,2052
SOD,SOD_Zone,203003,3,3,1995
SOD,SOD_Zone,203003,3,4,1938
SOD,SOD_Zone,203003,3,5,1966.5
SOD,SOD_Zone,203003,3,6,2052
SOD,SOD_Zone,203003,3,7,2280
SOD,SOD_Zone,203003,3,8,2565
SOD,SOD_Zone,203003,3,9,2793
SOD,SOD_Zone,203003,3,10,2850
SOD,SOD_Zone,203003,3,11,2821.5
SOD,SOD_Zone,203003,3,12,2764.5
SOD,SOD_Zone,203003,3,13,2707.5
SOD,SOD_Zone,203003,3,14,2650.5
SOD,SOD_Zone,203003,3,15,2622
SOD,SOD_Zone,203003,3,16,2650.5
SOD,SOD_Zone,203003,3,17,2707.5
SOD,SOD_Zone,203003,3,18,2850
SOD,SOD_Zone,203003,3,19,2907
SOD,SOD_Zone,203003,3,20,2935.5
SOD,SOD_Zone,203003,3,21,2878.5
SOD,SOD_Zone,203003,3,22,2736
SOD,SOD_Zone,203003,3,23,2508
SOD,SOD_Zone,203003,3,24,2280
SOD,SOD_Zone,203004,4,1,2025
SOD,SOD_Zone,203004,4,2,1944
SOD,SOD_Zone,203004,4,3,1890
SOD,SOD_Zone,203004,4,4,1836
SOD,SOD_Zone,203004,4,5,1863
SOD,SOD_Zone,203004,4,6,1944
SOD,SOD_Zone,203004,4,7,2160
SOD,SOD_Zone,203004,4,8,2430
SOD,SOD_Zone,203004,4,9,2646
SOD,SOD_Zone,203004,4,10,2700
SOD,SOD_Zone,203004,4,11,2673
SOD,SOD_Zone,203004,4,12,2619
SOD,SOD_Zone,203004,4,13,2565
SOD,SOD_Zone,203004,4,14,2511
SOD,SOD_Zone,203004,4,15,2484
SOD,SOD_Zone,203004,4,16,2511
SOD,SOD_Zone,203004,4,17,2565
SOD,SOD_Zone,203004,4,18,2700
SOD,SOD_Zone,203004,4,19,2754
SOD,SOD_Zone,203004,4,20,2781
SOD,SOD_Zone,203004,4,21,2727
SOD,SOD_Zone,203004,4,22,2592
SOD,SOD_Zone,203004,4,23,2376
SOD,SOD_Zone,203004,4,24,2160
SOD,SOD_Zone,203005,5,1,2070
SOD,SOD_Zone,203005,5,2,1987.2
SOD,SOD_Zone,203005,5,3,1932
SOD,SOD_Zone,203005,5,4,1876.8
SOD,SOD_Zone,203005,5,5,1904.4
SOD,SOD_Zone,203005,5,6,1987.2
SOD,SOD_Zone,203005,5,7,2208
SOD,SOD_Zone,203005,5,8,2484
SOD,SOD_Zone,203005,5,9,2704.8
SOD,SOD_Zone,203005,5,10,2760
SOD,SOD_Zone,203005,5,11,2732.4
SOD,SOD_Zone,203005,5,12,2677.2
SOD,SOD_Zone,203005,5,13,2622
SOD,SOD_Zone,203005,5,14,2566.8
SOD,SOD_Zone,203005,5,15,2539.2
SOD,SOD_Zone,203005,5,16,2566.8
SOD,SOD_Zone,203005,5,17,2622
SOD,SOD_Zone,203005,5,18,2760
SOD,SOD_Zone,203005,5,19,2815.2
SOD,SOD_Zone,203005,5,20,2842.8
SOD,SOD_Zone,203005,5,21,2787.6
SOD,SOD_Zone,203005,5,22,2649.6
SOD,SOD_Zone,203005,5,23,2428.8
SOD,SOD_Zone,203005,5,24,2208
SOD,SOD_Zone,203006,6,1,2430
SOD,SOD_Zone,203006,6,2,2332.8
SOD,SOD_Zone,203006,6,3,2268
SOD,SOD_Zone,203006,6,4,2203.2
SOD,SOD_Zone,203006,6,5,2235.6
SOD,SOD_Zone,203006,6,6,2332.8
SOD,SOD_Zone,203006,6,7,2592
SOD,SOD_Zone,203006,6,8,2916
SOD,SOD_Zone,203006,6,9,3175.2
SOD,SOD_Zone,203006,6,10,3240
SOD,SOD_Zone,203006,6,11,3207.6
SOD,SOD_Zone,203006,6,12,3142.8
SOD,SOD_Zone,203006,6,13,3078
SOD,SOD_Zone,203006,6,14,3013.2
SOD,SOD_Zone,203006,6,15,2980.8
SOD,SOD_Zone,203006,6,16,3013.2
SOD,SOD_Zone,203006,6,17,3078
SOD,SOD_Zone,203006,6,18,3240
SOD,SOD_Zone,203006,6,19,3304.8
SOD,SOD_Zone,203006,6,20,3337.2
SOD,SOD_Zone,203006,6,21,3272.4
SOD,SOD_Zone,203006,6,22,3110.4
SOD,SOD_Zone,203006,6,23,2851.2
SOD,SOD_Zone,203006,6,24,2592
SOD,SOD_Zone,203007,7,1,2700
SOD,SOD_Zone,203007,7,2,2592
SOD,SOD_Zone,203007,7,3,2520
SOD,SOD_Zone,203007,7,4,2448
SOD,SOD_Zone,203007,7,5,2484
SOD,SOD_Zone,203007,7,6,2592
SOD,SOD_Zone,203007,7,7,2880
SOD,SOD_Zone,203007,7,8,3240
SOD,SOD_Zone,203007,7,9,3528
SOD,SOD_Zone,203007,7,10,3600
SOD,SOD_Zone,203007,7,11,3564
SOD,SOD_Zone,203007,7,12,3492
SOD,SOD_Zone,203007,7,13,3420
SOD,SOD_Zone,203007,7,14,3348
SOD,SOD_Zone,203007,7,15,3312
SOD,SOD_Zone,203007,7,16,3348
SOD,SOD_Zone,203007,7,17,3420
SOD,SOD_Zone,203007,7,18,3600
SOD,SOD_Zone,203007,7,19,3672
SOD,SOD_Zone,203007,7,20,3708
SOD,SOD_Zone,203007,7,21,3636
SOD,SOD_Zone,203007,7,22,3456
SOD,SOD_Zone,203007,7,23,3168
SOD,SOD_Zone,203007,7,24,2880
SOD,SOD_Zone,203008,8,1,2655
SOD,SOD_Zone,203008,8,2,2548.8
SOD,SOD_Zone,203008,8,3,2478
SOD,SOD_Zone,203008,8,4,2407.2
SOD,SOD_Zone,203008,8,5,2442.6
SOD,SOD_Zone,203008,8,6,2548.8
SOD,SOD_Zone,203008,8,7,2832
SOD,SOD_Zone,203008,8,8,3186
SOD,SOD_Zone,203008,8,9,3469.2
SOD,SOD_Zone,203008,8,10,3540
SOD,SOD_Zone,203008,8,11,3504.6
SOD,SOD_Zone,203008,8,12,3433.8
SOD,SOD_Zone,203008,8,13,3363
SOD,SOD_Zone,203008,8,14,3292.2
SOD,SOD_Zone,203008,8,15,3256.8
SOD,SOD_Zone,203008,8,16,3292.2
SOD,SOD_Zone,203008,8,17,3363
SOD,SOD_Zone,203008,8,18,3540
SOD,SOD_Zone,203008,8,19,3610.8
SOD,SOD_Zone,203008,8,20,3646.2
SOD,SOD_Zone,203008,8,21,3575.4
SOD,SOD_Zone,203008,8,22,3398.4
SOD,SOD_Zone,203008,8,23,3115.2
SOD,SOD_Zone,203008,8,24,2832
SOD,SOD_Zone,203009,9,1,4513.5
SOD,SOD_Zone,203009,9,2,4332.96
SOD,SOD_Zone,203009,9,3,4212.6
SOD,SOD_Zone,203009,9,4,4092.24
SOD,SOD_Zone,203009,9,5,4152.42
SOD,SOD_Zone,203009,9,6,4332.96
SOD,SOD_Zone,203009,9,7,4814.4
SOD,SOD_Zone,203009,9,8,5416.2
SOD,SOD_Zone,203009,9,9,5897.64
SOD,SOD_Zone,203009,9,10,6018
SOD,SOD_Zone,203009,9,11,5957.82
SOD,SOD_Zone,203009,9,12,5837.46
SOD,SOD_Zone,203009,9,13,5717.1
SOD,SOD_Zone,203009,9,14,5596.74
SOD,SOD_Zone,203009,9,15,5536.56
SOD,SOD_Zone,203009,9,16,5596.74
SOD,SOD_Zone,203009,9,17,5717.1
SOD,SOD_Zone,203009,9,18,6018
SOD,SOD_Zone,203009,9,19,6138.36
SOD,SOD_Zone,203009,9,20,6198.54
SOD,SOD_Zone,203009,9,21,6078.18
SOD,SOD_Zone,203009,9,22,5777.28
SOD,SOD_Zone,203009,9,23,5295.84
SOD,SOD_Zone,203009,9,24,4814.4
SOD,SOD_Zone,203010,10,1,2137.5
SOD,SOD_Zone,203010,10,2,2052
SOD,SOD_Zone,203010,10,3,1995
SOD,SOD_Zone,203010,10,4,1938
SOD,SOD_Zone,203010,10,5,1966.5
SOD,SOD_Zone,203010,10,6,2052
SOD,SOD_Zone,203010,10,7,2280
SOD,SOD_Zone,203010,10,8,2565
SOD,SOD_Zone,203010,10,9,2793
SOD,SOD_Zone,203010,10,10,2850
SOD,SOD_Zone,203010,10,11,2821.5
SOD,SOD_Zone,203010,10,12,2764.5
SOD,SOD_Zone,203010,10,13,2707.5
SOD,SOD_Zone,203010,10,14,2650.5
SOD,SOD_Zone,203010,10,15,2622
SOD,SOD_Zone,203010,10,16,2650.5
SOD,SOD_Zone,203010,10,17,2707.5
SOD,SOD_Zone,203010,10,18,2850
SOD,SOD_Zone,203010,10,19,2907
SOD,SOD_Zone,203010,10,20,2935.5
SOD,SOD_Zone,203010,10,21,2878.5
SOD,SOD_Zone,203010,10,22,2736
SOD,SOD_Zone,203010,10,23,2508
SOD,SOD_Zone,203010,10,24,2280
SOD,SOD_Zone,203011,11,1,2250
SOD,SOD_Zone,203011,11,2,2160
SOD,SOD_Zone,203011,11,3,2100
SOD,SOD_Zone,203011,11,4,2040
SOD,SOD_Zone,203011,11,5,2070
SOD,SOD_Zone,203011,11,6,2160
SOD,SOD_Zone,203011,11,7,2400
SOD,SOD_Zone,203011,11,8,2700
SOD,SOD_Zone,203011,11,9,2940
SOD,SOD_Zone,203011,11,10,3000
SOD,SOD_Zone,203011,11,11,2970
SOD,SOD_Zone,203011,11,12,2910
SOD,SOD_Zone,203011,11,13,2850
SOD,SOD_Zone,203011,11,14,2790
SOD,SOD_Zone,203011,11,15,2760
SOD,SOD_Zone,203011,11,16,2790
SOD,SOD_Zone,203011,11,17,2850
SOD,SOD_Zone,203011,11,18,3000
SOD,SOD_Zone,203011,11,19,3060
SOD,SOD_Zone,203011,11,20,3090
SOD,SOD_Zone,203011,11,21,3030
SOD,SOD_Zone,203011,11,22,2880
SOD,SOD_Zone,203011,11,23,2640
SOD,SOD_Zone,203011,11,24,2400
SOD,SOD_Zone,203012,12,1,2520
SOD,SOD_Zone,203012,12,2,2419.2
SOD,SOD_Zone,203012,12,3,2352
SOD,SOD_Zone,203012,12,4,2284.8
SOD,SOD_Zone,203012,12,5,2318.4
SOD,SOD_Zone,203012,12,6,2419.2
SOD,SOD_Zone,203012,12,7,2688
SOD,SOD_Zone,203012,12,8,3024
SOD,SOD_Zone,203012,12,9,3292.8
SOD,SOD_Zone,203012,12,10,3360
SOD,SOD_Zone,203012,12,11,3326.4
SOD,SOD_Zone,203012,12,12,3259.2
SOD,SOD_Zone,203012,12,13,3192
SOD,SOD_Zone,203012,12,14,3124.8
SOD,SOD_Zone,203012,12,15,3091.2
SOD,SOD_Zone,203012,12,16,3124.8
SOD,SOD_Zone,203012,12,17,3192
SOD,SOD_Zone,203012,12,18,3360
SOD,SOD_Zone,203012,12,19,3427.2
SOD,SOD_Zone,203012,12,20,3460.8
SOD,SOD_Zone,203012,12,21,3393.6
SOD,SOD_Zone,203012,12,22,3225.6
SOD,SOD_Zone,203012,12,23,2956.8
SOD,SOD_Zone,203012,12,24,2688
SOD,SOD_Zone,203501,1,1,2475
SOD,SOD_Zone,203501,1,2,2376
SOD,SOD_Zone,203501,1,3,2310
SOD,SOD_Zone,203501,1,4,2244
SOD,SOD_Zone,203501,1,5,2277
SOD,SOD_Zone,203501,1,6,2376
SOD,SOD_Zone,203501,1,7,2640
SOD,SOD_Zone,203501,1,8,2970
SOD,SOD_Zone,203501,1,9,3234
SOD,SOD_Zone,203501,1,10,3300
SOD,SOD_Zone,203501,1,11,3267
SOD,SOD_Zone,203501,1,12,3201
SOD,SOD_Zone,203501,1,13,3135
SOD,SOD_Zone,203501,1,14,3069
SOD,SOD_Zone,203501,1,15,3036
SOD,SOD_Zone,203501,1,16,3069
SOD,SOD_Zone,203501,1,17,3135
SOD,SOD_Zone,203501,1,18,3300
SOD,SOD_Zone,203501,1,19,3366
SOD,SOD_Zone,203501,1,20,3399
SOD,SOD_Zone,203501,1,21,3333
SOD,SOD_Zone,203501,1,22,3168
SOD,SOD_Zone,203501,1,23,2904
SOD,SOD_Zone,203501,1,24,2640
SOD,SOD_Zone,203502,2,1,2362.5
SOD,SOD_Zone,203502,2,2,2268
SOD,SOD_Zone,203502,2,3,2205
SOD,SOD_Zone,203502,2,4,2142
SOD,SOD_Zone,203502,2,5,2173.5
SOD,SOD_Zone,203502,2,6,2268
SOD,SOD_Zone,203502,2,7,2520
SOD,SOD_Zone,203502,2,8,2835
SOD,SOD_Zone,203502,2,9,3087
SOD,SOD_Zone,203502,2,10,3150
SOD,SOD_Zone,203502,2,11,3118.5
SOD,SOD_Zone,203502,2,12,3055.5
SOD,SOD_Zone,203502,2,13,2992.5
SOD,SOD_Zone,203502,2,14,2929.5
SOD,SOD_Zone,203502,2,15,2898
SOD,SOD_Zone,203502,2,16,2929.5
SOD,SOD_Zone,203502,2,17,2992.5
SOD,SOD_Zone,203502,2,18,3150
SOD,SOD_Zone,203502,2,19,3213
SOD,SOD_Zone,203502,2,20,3244.5
SOD,SOD_Zone,203502,2,21,3181.5
SOD,SOD_Zone,203502,2,22,3024
SOD,SOD_Zone,203502,2,23,2772
SOD,SOD_Zone,203502,2,24,2520
SOD,SOD_Zone,203503,3,1,2137.5
SOD,SOD_Zone,203503,3,2,2052
SOD,SOD_Zone,203503,3,3,1995
SOD,SOD_Zone,203503,3,4,1938
SOD,SOD_Zone,203503,3,5,1966.5
SOD,SOD_Zone,203503,3,6,2052
SOD,SOD_Zone,203503,3,7,2280
SOD,SOD_Zone,203503,3,8,2565
SOD,SOD_Zone,203503,3,9,2793
SOD,SOD_Zone,203503,3,10,2850
SOD,SOD_Zone,203503,3,11,2821.5
SOD,SOD_Zone,203503,3,12,2764.5
SOD,SOD_Zone,203503,3,13,2707.5
SOD,SOD_Zone,203503,3,14,2650.5
SOD,SOD_Zone,203503,3,15,2622
SOD,SOD_Zone,203503,3,16,2650.5
SOD,SOD_Zone,203503,3,17,2707.5
SOD,SOD_Zone,203503,3,18,2850
SOD,SOD_Zone,203503,3,19,2907
SOD,SOD_Zone,203503,3,20,2935.5
SOD,SOD_Zone,203503,3,21,2878.5
SOD,SOD_Zone,203503,3,22,2736
SOD,SOD_Zone,203503,3,23,2508
SOD,SOD_Zone,203503,3,24,2280
SOD,SOD_Zone,203504,4,1,2025
SOD,SOD_Zone,203504,4,2,1944
SOD,SOD_Zone,203504,4,3,1890
SOD,SOD_Zone,203504,4,4,1836
SOD,SOD_Zone,203504,4,5,1863
SOD,SOD_Zone,203504,4,6,1944
SOD,SOD_Zone,203504,4,7,2160
SOD,SOD_Zone,203504,4,8,2430
SOD,SOD_Zone,203504,4,9,2646
SOD,SOD_Zone,203504,4,10,2700
SOD,SOD_Zone,203504,4,11,2673
SOD,SOD_Zone,203504,4,12,2619
SOD,SOD_Zone,203504,4,13,2565
SOD,SOD_Zone,203504,4,14,2511
SOD,SOD_Zone,203504,4,15,2484
SOD,SOD_Zone,203504,4,16,2511
SOD,SOD_Zone,203504,4,17,2565
SOD,SOD_Zone,203504,4,18,2700
SOD,SOD_Zone,203504,4,19,2754
SOD,SOD_Zone,203504,4,20,2781
SOD,SOD_Zone,203504,4,21,2727
SOD,SOD_Zone,203504,4,22,2592
SOD,SOD_Zone,203504,4,23,2376
SOD,SOD_Zone,203504,4,24,2160
SOD,SOD_Zone,203505,5,1,2070
SOD,SOD_Zone,203505,5,2,1987.2
SOD,SOD_Zone,203505,5,3,1932
SOD,SOD_Zone,203505,5,4,1876.8
SOD,SOD_Zone,203505,5,5,1904.4
SOD,SOD_Zone,203505,5,6,1987.2
SOD,SOD_Zone,203505,5,7,2208
SOD,SOD_Zone,203505,5,8,2484
SOD,SOD_Zone,203505,5,9,2704.8
SOD,SOD_Zone,203505,5,10,2760
SOD,SOD_Zone,203505,5,11,2732.4
SOD,SOD_Zone,203505,5,12,2677.2
SOD,SOD_Zone,203505,5,13,2622
SOD,SOD_Zone,203505,5,14,2566.8
SOD,SOD_Zone,203505,5,15,2539.2
SOD,SOD_Zone,203505,5,16,2566.8
SOD,SOD_Zone,203505,5,17,2622
SOD,SOD_Zone,203505,5,18,2760
SOD,SOD_Zone,203505,5,19,2815.2
SOD,SOD_Zone,203505,5,20,2842.8
SOD,SOD_Zone,203505,5,21,2787.6
SOD,SOD_Zone,203505,5,22,2649.6
SOD,SOD_Zone,203505,5,23,2428.8
SOD,SOD_Zone,203505,5,24,2208
SOD,SOD_Zone,203506,6,1,2430
SOD,SOD_Zone,203506,6,2,2332.8
SOD,SOD_Zone,203506,6,3,2268
SOD,SOD_Zone,203506,6,4,2203.2
SOD,SOD_Zone,203506,6,5,2235.6
SOD,SOD_Zone,203506,6,6,2332.8
SOD,SOD_Zone,203506,6,7,2592
SOD,SOD_Zone,203506,6,8,2916
SOD,SOD_Zone,203506,6,9,3175.2
SOD,SOD_Zone,203506,6,10,3240
SOD,SOD_Zone,203506,6,11,3207.6
SOD,SOD_Zone,203506,6,12,3142.8
SOD,SOD_Zone,203506,6,13,3078
SOD,SOD_Zone,203506,6,14,3013.2
SOD,SOD_Zone,203506,6,15,2980.8
SOD,SOD_Zone,203506,6,16,3013.2
SOD,SOD_Zone,203506,6,17,3078
SOD,SOD_Zone,203506,6,18,3240
SOD,SOD_Zone,203506,6,19,3304.8
SOD,SOD_Zone,203506,6,20,3337.2
SOD,SOD_Zone,203506,6,21,3272.4
SOD,SOD_Zone,203506,6,22,3110.4
SOD,SOD_Zone,203506,6,23,2851.2
SOD,SOD_Zone,203506,6,24,2592
SOD,SOD_Zone,203507,7,1,2700
SOD,SOD_Zone,203507,7,2,2592
SOD,SOD_Zone,203507,7,3,2520
SOD,SOD_Zone,203507,7,4,2448
SOD,SOD_Zone,203507,7,5,2484
SOD,SOD_Zone,203507,7,6,2592
SOD,SOD_Zone,203507,7,7,2880
SOD,SOD_Zone,203507,7,8,3240
SOD,SOD_Zone,203507,7,9,3528
SOD,SOD_Zone,203507,7,10,3600
SOD,SOD_Zone,203507,7,11,3564
SOD,SOD_Zone,203507,7,12,3492
SOD,SOD_Zone,203507,7,13,3420
SOD,SOD_Zone,203507,7,14,3348
SOD,SOD_Zone,203507,7,15,3312
SOD,SOD_Zone,203507,7,16,3348
SOD,SOD_Zone,203507,7,17,3420
SOD,SOD_Zone,203507,7,18,3600
SOD,SOD_Zone,203507,7,19,3672
SOD,SOD_Zone,203507,7,20,3708
SOD,SOD_Zone,203507,7,21,3636
SOD,SOD_Zone,203507,7,22,3456
SOD,SOD_Zone,203507,7,23,3168
SOD,SOD_Zone,203507,7,24,2880
SOD,SOD_Zone,203508,8,1,2655
SOD,SOD_Zone,203508,8,2,2548.8
SOD,SOD_Zone,203508,8,3,2478
SOD,SOD_Zone,203508,8,4,2407.2
SOD,SOD_Zone,203508,8,5,2442.6
SOD,SOD_Zone,203508,8,6,2548.8
SOD,SOD_Zone,203508,8,7,2832
SOD,SOD_Zone,203508,8,8,3186
SOD,SOD_Zone,203508,8,9,3469.2
SOD,SOD_Zone,203508,8,10,3540
SOD,SOD_Zone,203508,8,11,3504.6
SOD,SOD_Zone,203508,8,12,3433.8
SOD,SOD_Zone,203508,8,13,3363
SOD,SOD_Zone,203508,8,14,3292.2
SOD,SOD_Zone,203508,8,15,3256.8
SOD,SOD_Zone,203508,8,16,3292.2
SOD,SOD_Zone,203508,8,17,3363
SOD,SOD_Zone,203508,8,18,3540
SOD,SOD_Zone,203508,8,19,3610.8
SOD,SOD_Zone,203508,8,20,3646.2
SOD,SOD_Zone,203508,8,21,3575.4
SOD,SOD_Zone,203508,8,22,3398.4
SOD,SOD_Zone,203508,8,23,3115.2
SOD,SOD_Zone,203508,8,24,2832
SOD,SOD_Zone,203509,9,1,4779
SOD,SOD_Zone,203509,9,2,4587.84
SOD,SOD_Zone,203509,9,3,4460.4
SOD,SOD_Zone,203509,9,4,4332.96
SOD,SOD_Zone,203509,9,5,4396.68
SOD,SOD_Zone,203509,9,6,4587.84
SOD,SOD_Zone,203509,9,7,5097.6
SOD,SOD_Zone,203509,9,8,5734.8
SOD,SOD_Zone,203509,9,9,6244.56
SOD,SOD_Zone,203509,9,10,6372
SOD,SOD_Zone,203509,9,11,6308.28
SOD,SOD_Zone,203509,9,12,6180.84
SOD,SOD_Zone,203509,9,13,6053.4
SOD,SOD_Zone,203509,9,14,5925.96
SOD,SOD_Zone,203509,9,15,5862.24
SOD,SOD_Zone,203509,9,16,5925.96
SOD,SOD_Zone,203509,9,17,6053.4
SOD,SOD_Zone,203509,9,18,6372
SOD,SOD_Zone,203509,9,19,6499.44
SOD,SOD_Zone,203509,9,20,6563.16
SOD,SOD_Zone,203509,9,21,6435.72
SOD,SOD_Zone,203509,9,22,6117.12
SOD,SOD_Zone,203509,9,23,5607.36
SOD,SOD_Zone,203509,9,24,5097.6
SOD,SOD_Zone,203510,10,1,2025
SOD,SOD_Zone,203510,10,2,1944
SOD,SOD_Zone,203510,10,3,1890
SOD,SOD_Zone,203510,10,4,1836
SOD,SOD_Zone,203510,10,5,1863
SOD,SOD_Zone,203510,10,6,1944
SOD,SOD_Zone,203510,10,7,2160
SOD,SOD_Zone,203510,10,8,2430
SOD,SOD_Zone,203510,10,9,2646
SOD,SOD_Zone,203510,10,10,2700
SOD,SOD_Zone,203510,10,11,2673
SOD,SOD_Zone,203510,10,12,2619
SOD,SOD_Zone,203510,10,13,2565
SOD,SOD_Zone,203510,10,14,2511
SOD,SOD_Zone,203510,10,15,2484
SOD,SOD_Zone,203510,10,16,2511
SOD,SOD_Zone,203510,10,17,2565
SOD,SOD_Zone,203510,10,18,2700
SOD,SOD_Zone,203510,10,19,2754
SOD,SOD_Zone,203510,10,20,2781
SOD,SOD_Zone,203510,10,21,2727
SOD,SOD_Zone,203510,10,22,2592
SOD,SOD_Zone,203510,10,23,2376
SOD,SOD_Zone,203510,10,24,2160
SOD,SOD_Zone,203511,11,1,2250
SOD,SOD_Zone,203511,11,2,2160
SOD,SOD_Zone,203511,11,3,2100
SOD,SOD_Zone,203511,11,4,2040
SOD,SOD_Zone,203511,11,5,2070
SOD,SOD_Zone,203511,11,6,2160
SOD,SOD_Zone,203511,11,7,2400
SOD,SOD_Zone,203511,11,8,2700
SOD,SOD_Zone,203511,11,9,2940
SOD,SOD_Zone,203511,11,10,3000
SOD,SOD_Zone,203511,11,11,2970
SOD,SOD_Zone,203511,11,12,2910
SOD,SOD_Zone,203511,11,13,2850
SOD,SOD_Zone,203511,11,14,2790
SOD,SOD_Zone,203511,11,15,2760
SOD,SOD_Zone,203511,11,16,2790
SOD,SOD_Zone,203511,11,17,2850
SOD,SOD_Zone,203511,11,18,3000
SOD,SOD_Zone,203511,11,19,3060
SOD,SOD_Zone,203511,11,20,3090
SOD,SOD_Zone,203511,11,21,3030
SOD,SOD_Zone,203511,11,22,2880
SOD,SOD_Zone,203511,11,23,2640
SOD,SOD_Zone,203511,11,24,2400
SOD,SOD_Zone,203512,12,1,2520
SOD,SOD_Zone,203512,12,2,2419.2
SOD,SOD_Zone,203512,12,3,2352
SOD,SOD_Zone,203512,12,4,2284.8
SOD,SOD_Zone,203512,12,5,2318.4
SOD,SOD_Zone,203512,12,6,2419.2
SOD,SOD_Zone,203512,12,7,2688
SOD,SOD_Zone,203512,12,8,3024
SOD,SOD_Zone,203512,12,9,3292.8
SOD,SOD_Zone,203512,12,10,3360
SOD,SOD_Zone,203512,12,11,3326.4
SOD,SOD_Zone,203512,12,12,3259.2
SOD,SOD_Zone,203512,12,13,3192
SOD,SOD_Zone,203512,12,14,3124.8
SOD,SOD_Zone,203512,12,15,3091.2
SOD,SOD_Zone,203512,12,16,3124.8
SOD,SOD_Zone,203512,12,17,3192
SOD,SOD_Zone,203512,12,18,3360
SOD,SOD_Zone,203512,12,19,3427.2
SOD,SOD_Zone,203512,12,20,3460.8
SOD,SOD_Zone,203512,12,21,3393.6
SOD,SOD_Zone,203512,12,22,3225.6
SOD,SOD_Zone,203512,12,23,2956.8
SOD,SOD_Zone,203512,12,24,2688
