period,policy_month,policy_hour,cap_fac
203005,5,2,0.188
203005,5,3,0.192
203005,5,4,0.196
203005,5,5,0.192
203005,5,6,0.184
203005,5,7,0.168
203005,5,8,0.152
203005,5,9,0.136
203005,5,10,0.124
203005,5,11,0.116
203005,5,12,0.112
203005,5,13,0.108
203005,5,14,0.108
203005,5,15,0.112
203005,5,16,0.12
203005,5,17,0.128
203005,5,18,0.14
203005,5,19,0.152
203005,5,20,0.16
203005,5,21,0.168
203005,5,22,0.172
203005,5,23,0.176
203005,5,24,0.18
203006,6,1,0.1665
203006,6,2,0.1739
203006,6,3,0.1776
203006,6,4,0.1813
203006,6,5,0.1776
203006,6,6,0.1702
203006,6,7,0.1554
203006,6,8,0.1406
203006,6,9,0.1258
203006,6,10,0.1147
203006,6,11,0.1073
203006,6,12,0.1036
203006,6,13,0.0999
203006,6,14,0.0999
203006,6,15,0.1036
203006,6,16,0.111
203006,6,17,0.1184
203006,6,18,0.1295
203006,6,19,0.1406
203006,6,20,0.148
203006,6,21,0.1554
203006,6,22,0.1591
203006,6,23,0.1628
203006,6,24,0.1665
203007,7,1,0.1575
203007,7,2,0.1645
203007,7,3,0.168
203007,7,4,0.1715
203007,7,5,0.168
203007,7,6,0.161
203007,7,7,0.147
203007,7,8,0.133
203007,7,9,0.119
203007,7,10,0.1085
203007,7,11,0.1015
203007,7,12,0.098
203007,7,13,0.0945
203007,7,14,0.0945
203007,7,15,0.098
203007,7,16,0.105
203007,7,17,0.112
203007,7,18,0.1225
203007,7,19,0.133
203007,7,20,0.14
203007,7,21,0.147
203007,7,22,0.1505
203007,7,23,0.154
203007,7,24,0.1575
203008,8,1,0.162
203008,8,2,0.1692
203008,8,3,0.1728
203008,8,4,0.1764
203008,8,5,0.1728
203008,8,6,0.1656
203008,8,7,0.1512
203008,8,8,0.1368
203008,8,9,0.1224
203008,8,10,0.1116
203008,8,11,0.1044
203008,8,12,0.1008
203008,8,13,0.0972
203008,8,14,0.0972
203008,8,15,0.1008
203008,8,16,0.108
203008,8,17,0.1152
203008,8,18,0.126
203008,8,19,0.1368
203008,8,20,0.144
203008,8,21,0.1512
203008,8,22,0.1548
203008,8,23,0.1584
203008,8,24,0.162
203009,9,1,0.18
203009,9,2,0.188
203009,9,3,0.192
203009,9,4,0.196
203009,9,5,0.192
203009,9,6,0.184
203009,9,7,0.168
203009,9,8,0.152
203009,9,9,0.136
203009,9,10,0.124
203009,9,11,0.116
203009,9,12,0.112
203009,9,13,0.108
203009,9,14,0.108
203009,9,15,0.112
203009,9,16,0.12
203009,9,17,0.128
203009,9,18,0.14
203009,9,19,0.152
203009,9,20,0.16
203009,9,21,0.168
203009,9,22,0.172
203009,9,23,0.176
203009,9,24,0.18
203010,10,1,0.2025
203010,10,2,0.2115
203010,10,3,0.216
203010,10,4,0.2205
203010,10,5,0.216
203010,10,6,0.207
203010,10,7,0.189
203010,10,8,0.171
203010,10,9,0.153
203010,10,10,0.1395
203010,10,11,0.1305
203010,10,12,0.126
203010,10,13,0.1215
203010,10,14,0.1215
203010,10,15,0.126
203010,10,16,0.135
203010,10,17,0.144
203010,10,18,0.1575
203010,10,19,0.171
203010,10,20,0.18
203010,10,21,0.189
203010,10,22,0.1935
203010,10,23,0.198
203010,10,24,0.2025
203011,11,1,0.225
203011,11,2,0.235
203011,11,3,0.24
203011,11,4,0.245
203011,11,5,0.24
203011,11,6,0.23
203011,11,7,0.21
203011,11,8,0.19
203011,11,9,0.17
203011,11,10,0.155
203011,11,11,0.145
203011,11,12,0.14
203011,11,13,0.135
203011,11,14,0.135
203011,11,15,0.14
203011,11,16,0.15
203011,11,17,0.16
203011,11,18,0.175
203011,11,19,0.19
203011,11,20,0.2
203011,11,21,0.21
203011,11,22,0.215
203011,11,23,0.22
203011,11,24,0.225
203012,12,1,0.243
203012,12,2,0.2538
203012,12,3,0.2592
203012,12,4,0.2646
203012,12,5,0.2592
203012,12,6,0.2484
203012,12,7,0.2268
203012,12,8,0.2052
203012,12,9,0.1836
203012,12,10,0.1674
203012,12,11,0.1566
203012,12,12,0.1512
203012,12,13,0.1458
203012,12,14,0.1458
203012,12,15,0.1512
203012,12,16,0.162
203012,12,17,0.1728
203012,12,18,0.189
203012,12,19,0.2052
203012,12,20,0.216
203012,12,21,0.2268
203012,12,22,0.2322
203012,12,23,0.2376
203012,12,24,0.243
203501,1,1,0.2475
203501,1,2,0.2585
203501,1,3,0.264
203501,1,4,0.2695
203501,1,5,0.264
203501,1,6,0.253
203501,1,7,0.231
203501,1,8,0.209
203501,1,9,0.187
203501,1,10,0.1705
203501,1,11,0.1595
203501,1,12,0.154
203501,1,13,0.1485
203501,1,14,0.1485
203501,1,15,0.154
203501,1,16,0.165
203501,1,17,0.176
203501,1,18,0.1925
203501,1,19,0.209
203501,1,20,0.22
203501,1,21,0.231
203501,1,22,0.2365
203501,1,23,0.242
203501,1,24,0.2475
203502,2,1,0.234
203502,2,2,0.2444
203502,2,3,0.2496
203502,2,4,0.2548
203502,2,5,0.2496
203502,2,6,0.2392
203502,2,7,0.2184
203502,2,8,0.1976
203502,2,9,0.1768
203502,2,10,0.1612
203502,2,11,0.1508
203502,2,12,0.1456
203502,2,13,0.1404
203502,2,14,0.1404
203502,2,15,0.1456
203502,2,16,0.156
203502,2,17,0.1664
203502,2,18,0.182
203502,2,19,0.1976
203502,2,20,0.208
203502,2,21,0.2184
203502,2,22,0.2236
203502,2,23,0.2288
203502,2,24,0.234
203503,3,1,0.216
203503,3,2,0.2256
203503,3,3,0.2304
203503,3,4,0.2352
203503,3,5,0.2304
203503,3,6,0.2208
203503,3,7,0.2016
203503,3,8,0.1824
203503,3,9,0.1632
203503,3,10,0.1488
203503,3,11,0.1392
203503,3,12,0.1344
203503,3,13,0.1296
203503,3,14,0.1296
203503,3,15,0.1344
203503,3,16,0.144
203503,3,17,0.1536
203503,3,18,0.168
203503,3,19,0.1824
203503,3,20,0.192
203503,3,21,0.2016
203503,3,22,0.2064
203503,3,23,0.2112
203503,3,24,0.216
203504,4,1,0.1935
203504,4,2,0.2021
203504,4,3,0.2064
203504,4,4,0.2107
203504,4,5,0.2064
203504,4,6,0.1978
203504,4,7,0.1806
203504,4,8,0.1634
203504,4,9,0.1462
203504,4,10,0.1333
203504,4,11,0.1247
203504,4,12,0.1204
203504,4,13,0.1161
203504,4,14,0.1161
203504,4,15,0.1204
203504,4,16,0.129
203504,4,17,0.1376
203504,4,18,0.1505
203504,4,19,0.1634
203504,4,20,0.172
203504,4,21,0.1806
203504,4,22,0.1849
203504,4,23,0.1892
203504,4,24,0.1935
203505,5,1,0.18
203505,5,2,0.188
203505,5,3,0.192
203505,5,4,0.196
203505,5,5,0.192
203505,5,6,0.184
203505,5,7,0.168
203505,5,8,0.152
203505,5,9,0.136
203505,5,10,0.124
203505,5,11,0.116
203505,5,12,0.112
203505,5,13,0.108
203505,5,14,0.108
203505,5,15,0.112
203505,5,16,0.12
203505,5,17,0.128
203505,5,18,0.14
203505,5,19,0.152
203505,5,20,0.16
203505,5,21,0.168
203505,5,22,0.172
203505,5,23,0.176
203505,5,24,0.18
203506,6,1,0.1665
203506,6,2,0.1739
203506,6,3,0.1776
203506,6,4,0.1813
203506,6,5,0.1776
203506,6,6,0.1702
203506,6,7,0.1554
203506,6,8,0.1406
203506,6,9,0.1258
203506,6,10,0.1147
203506,6,11,0.1073
203506,6,12,0.1036
203506,6,13,0.0999
203506,6,14,0.0999
203506,6,15,0.1036
203506,6,16,0.111
203506,6,17,0.1184
203506,6,18,0.1295
203506,6,19,0.1406
203506,6,20,0.148
203506,6,21,0.1554
203506,6,22,0.1591
203506,6,23,0.1628
203506,6,24,0.1665
203507,7,1,0.1575
203507,7,2,0.1645
203507,7,3,0.168
203507,7,4,0.1715
203507,7,5,0.168
203507,7,6,0.161
203507,7,7,0.147
203507,7,8,0.133
203507,7,9,0.119
203507,7,10,0.1085
203507,7,11,0.1015
203507,7,12,0.098
203507,7,13,0.0945
203507,7,14,0.0945
203507,7,15,0.098
203507,7,16,0.105
203507,7,17,0.112
203507,7,18,0.1225
203507,7,19,0.133
203507,7,20,0.14
203507,7,21,0.147
203507,7,22,0.1505
203507,7,23,0.154
203507,7,24,0.1575
203508,8,1,0.162
203508,8,2,0.1692
203508,8,3,0.1728
203508,8,4,0.1764
203508,8,5,0.1728
203508,8,6,0.1656
203508,8,7,0.1512
203508,8,8,0.1368
203508,8,9,0.1224
203508,8,10,0.1116
203508,8,11,0.1044
203508,8,12,0.1008
203508,8,13,0.0972
203508,8,14,0.0972
203508,8,15,0.1008
203508,8,16,0.108
203508,8,17,0.1152
203508,8,18,0.126
203508,8,19,0.1368
203508,8,20,0.144
203508,8,21,0.1512
203508,8,22,0.1548
203508,8,23,0.1584
203508,8,24,0.162
203509,9,1,0.18
203509,9,2,0.188
203509,9,3,0.192
203509,9,4,0.196
203509,9,5,0.192
203509,9,6,0.184
203509,9,7,0.168
203509,9,8,0.152
203509,9,9,0.136
203509,9,10,0.124
203509,9,11,0.116
203509,9,12,0.112
203509,9,13,0.108
203509,9,14,0.108
203509,9,15,0.112
203509,9,16,0.12
203509,9,17,0.128
203509,9,18,0.14
203509,9,19,0.152
203509,9,20,0.16
203509,9,21,0.168
203509,9,22,0.172
203509,9,23,0.176
203509,9,24,0.18
203510,10,1,0.2025
203510,10,2,0.2115
203510,10,3,0.216
203510,10,4,0.2205
203510,10,5,0.216
203510,10,6,0.207
203510,10,7,0.189
203510,10,8,0.171
203510,10,9,0.153
203510,10,10,0.1395
203510,10,11,0.1305
203510,10,12,0.126
203510,10,13,0.1215
203510,10,14,0.1215
203510,10,15,0.126
203510,10,16,0.135
203510,10,17,0.144
203510,10,18,0.1575
203510,10,19,0.171
203510,10,20,0.18
203510,10,21,0.189
203510,10,22,0.1935
203510,10,23,0.198
203510,10,24,0.2025
203511,11,1,0.225
203511,11,2,0.235
203511,11,3,0.24
203511,11,4,0.245
203511,11,5,0.24
203511,11,6,0.23
203511,11,7,0.21
203511,11,8,0.19
203511,11,9,0.17
203511,11,10,0.155
203511,11,11,0.145
203511,11,12,0.14
203511,11,13,0.135
203511,11,14,0.135
203511,11,15,0.14
203511,11,16,0.15
203511,11,17,0.16
203511,11,18,0.175
203511,11,19,0.19
203511,11,20,0.2
203511,11,21,0.21
203511,11,22,0.215
203511,11,23,0.22
203511,11,24,0.225
203512,12,1,0.243
203512,12,2,0.2538
203512,12,3,0.2592
203512,12,4,0.2646
203512,12,5,0.2592
203512,12,6,0.2484
203512,12,7,0.2268
203512,12,8,0.2052
203512,12,9,0.1836
203512,12,10,0.1674
203512,12,11,0.1566
203512,12,12,0.1512
203512,12,13,0.1458
203512,12,14,0.1458
203512,12,15,0.1512
203512,12,16,0.162
203512,12,17,0.1728
203512,12,18,0.189
203512,12,19,0.2052
203512,12,20,0.216
203512,12,21,0.2268
203512,12,22,0.2322
203512,12,23,0.2376
203512,12,24,0.243
