period,policy_month,policy_hour,cap_fac
203008,8,17,0.475
203008,8,18,0.285
203008,8,19,0.095
203008,8,20,0.019
203008,8,21,0.0
203008,8,22,0.0
203008,8,23,0.0
203008,8,24,0.0
203009,9,1,0.0
203009,9,2,0.0
203009,9,3,0.0
203009,9,4,0.0
203009,9,5,0.0
203009,9,6,0.0
203009,9,7,0.036
203009,9,8,0.126
203009,9,9,0.27
203009,9,10,0.414
203009,9,11,0.54
203009,9,12,0.639
203009,9,13,0.72
203009,9,14,0.72
203009,9,15,0.675
203009,9,16,0.585
203009,9,17,0.45
203009,9,18,0.27
203009,9,19,0.09
203009,9,20,0.018
203009,9,21,0.0
203009,9,22,0.0
203009,9,23,0.0
203009,9,24,0.0
203010,10,1,0.0
203010,10,2,0.0
203010,10,3,0.0
203010,10,4,0.0
203010,10,5,0.0
203010,10,6,0.0
203010,10,7,0.032
203010,10,8,0.112
203010,10,9,0.24
203010,10,10,0.368
203010,10,11,0.48
203010,10,12,0.568
203010,10,13,0.64
203010,10,14,0.64
203010,10,15,0.6
203010,10,16,0.52
203010,10,17,0.4
203010,10,18,0.24
203010,10,19,0.08
203010,10,20,0.016
203010,10,21,0.0
203010,10,22,0.0
203010,10,23,0.0
203010,10,24,0.0
203011,11,1,0.0
203011,11,2,0.0
203011,11,3,0.0
203011,11,4,0.0
203011,11,5,0.0
203011,11,6,0.0
203011,11,7,0.028
203011,11,8,0.098
203011,11,9,0.21
203011,11,10,0.322
203011,11,11,0.42
203011,11,12,0.497
203011,11,13,0.56
203011,11,14,0.56
203011,11,15,0.525
203011,11,16,0.455
203011,11,17,0.35
203011,11,18,0.21
203011,11,19,0.07
203011,11,20,0.014
203011,11,21,0.0
203011,11,22,0.0
203011,11,23,0.0
203011,11,24,0.0
203012,12,1,0.0
203012,12,2,0.0
203012,12,3,0.0
203012,12,4,0.0
203012,12,5,0.0
203012,12,6,0.0
203012,12,7,0.026
203012,12,8,0.091
203012,12,9,0.195
203012,12,10,0.299
203012,12,11,0.39
203012,12,12,0.4615
203012,12,13,0.52
203012,12,14,0.52
203012,12,15,0.4875
203012,12,16,0.4225
203012,12,17,0.325
203012,12,18,0.195
203012,12,19,0.065
203012,12,20,0.013
203012,12,21,0.0
203012,12,22,0.0
203012,12,23,0.0
203012,12,24,0.0
203501,1,1,0.0
203501,1,2,0.0
203501,1,3,0.0
203501,1,4,0.0
203501,1,5,0.0
203501,1,6,0.0
203501,1,7,0.028
203501,1,8,0.098
203501,1,9,0.21
203501,1,10,0.322
203501,1,11,0.42
203501,1,12,0.497
203501,1,13,0.56
203501,1,14,0.56
203501,1,15,0.525
203501,1,16,0.455
203501,1,17,0.35
203501,1,18,0.21
203501,1,19,0.07
203501,1,20,0.014
203501,1,21,0.0
203501,1,22,0.0
203501,1,23,0.0
203501,1,24,0.0
203502,2,1,0.0
203502,2,2,0.0
203502,2,3,0.0
203502,2,4,0.0
203502,2,5,0.0
203502,2,6,0.0
203502,2,7,0.03
203502,2,8,0.105
203502,2,9,0.225
203502,2,10,0.345
203502,2,11,0.45
203502,2,12,0.5325
203502,2,13,0.6
203502,2,14,0.6
203502,2,15,0.5625
203502,2,16,0.4875
203502,2,17,0.375
203502,2,18,0.225
203502,2,19,0.075
203502,2,20,0.015
203502,2,21,0.0
203502,2,22,0.0
203502,2,23,0.0
203502,2,24,0.0
203503,3,1,0.0
203503,3,2,0.0
203503,3,3,0.0
203503,3,4,0.0
203503,3,5,0.0
203503,3,6,0.0
203503,3,7,0.034
203503,3,8,0.119
203503,3,9,0.255
203503,3,10,0.391
203503,3,11,0.51
203503,3,12,0.6035
203503,3,13,0.68
203503,3,14,0.68
203503,3,15,0.6375
203503,3,16,0.5525
203503,3,17,0.425
203503,3,18,0.255
203503,3,19,0.085
203503,3,20,0.017
203503,3,21,0.0
203503,3,22,0.0
203503,3,23,0.0
203503,3,24,0.0
203504,4,1,0.0
203504,4,2,0.0
203504,4,3,0.0
203504,4,4,0.0
203504,4,5,0.0
203504,4,6,0.0
203504,4,7,0.036
203504,4,8,0.126
203504,4,9,0.27
203504,4,10,0.414
203504,4,11,0.54
203504,4,12,0.639
203504,4,13,0.72
203504,4,14,0.72
203504,4,15,0.675
203504,4,16,0.585
203504,4,17,0.45
203504,4,18,0.27
203504,4,19,0.09
203504,4,20,0.018
203504,4,21,0.0
203504,4,22,0.0
203504,4,23,0.0
203504,4,24,0.0
203505,5,1,0.0
203505,5,2,0.0
203505,5,3,0.0
203505,5,4,0.0
203505,5,5,0.0
203505,5,6,0.0
203505,5,7,0.038
203505,5,8,0.133
203505,5,9,0.285
203505,5,10,0.437
203505,5,11,0.57
203505,5,12,0.6745
203505,5,13,0.76
203505,5,14,0.76
203505,5,15,0.7125
203505,5,16,0.6175
203505,5,17,0.475
203505,5,18,0.285
203505,5,19,0.095
203505,5,20,0.019
203505,5,21,0.0
203505,5,22,0.0
203505,5,23,0.0
203505,5,24,0.0
203506,6,1,0.0
203506,6,2,0.0
203506,6,3,0.0
203506,6,4,0.0
203506,6,5,0.0
203506,6,6,0.0
203506,6,7,0.04
203506,6,8,0.14
203506,6,9,0.3
203506,6,10,0.46
203506,6,11,0.6
203506,6,12,0.71
203506,6,13,0.8
203506,6,14,0.8
203506,6,15,0.75
203506,6,16,0.65
203506,6,17,0.5
203506,6,18,0.3
203506,6,19,0.1
203506,6,20,0.02
203506,6,21,0.0
203506,6,22,0.0
203506,6,23,0.0
203506,6,24,0.0
203507,7,1,0.0
203507,7,2,0.0
203507,7,3,0.0
203507,7,4,0.0
203507,7,5,0.0
203507,7,6,0.0
203507,7,7,0.04
203507,7,8,0.14
203507,7,9,0.3
203507,7,10,0.46
203507,7,11,0.6
203507,7,12,0.71
203507,7,13,0.8
203507,7,14,0.8
203507,7,15,0.75
203507,7,16,0.65
203507,7,17,0.5
203507,7,18,0.3
203507,7,19,0.1
203507,7,20,0.02
203507,7,21,0.0
203507,7,22,0.0
203507,7,23,0.0
203507,7,24,0.0
203508,8,1,0.0
203508,8,2,0.0
203508,8,3,0.0
203508,8,4,0.0
203508,8,5,0.0
203508,8,6,0.0
203508,8,7,0.038
203508,8,8,0.133
203508,8,9,0.285
203508,8,10,0.437
203508,8,11,0.57
203508,8,12,0.6745
203508,8,13,0.76
203508,8,14,0.76
203508,8,15,0.7125
203508,8,16,0.6175
203508,8,17,0.475
203508,8,18,0.285
203508,8,19,0.095
203508,8,20,0.019
203508,8,21,0.0
203508,8,22,0.0
203508,8,23,0.0
203508,8,24,0.0
203509,9,1,0.0
203509,9,2,0.0
203509,9,3,0.0
203509,9,4,0.0
203509,9,5,0.0
203509,9,6,0.0
203509,9,7,0.036
203509,9,8,0.126
203509,9,9,0.27
203509,9,10,0.414
203509,9,11,0.54
203509,9,12,0.639
203509,9,13,0.72
203509,9,14,0.72
203509,9,15,0.675
203509,9,16,0.585
203509,9,17,0.45
203509,9,18,0.27
203509,9,19,0.09
203509,9,20,0.018
203509,9,21,0.0
203509,9,22,0.0
203509,9,23,0.0
203509,9,24,0.0
203510,10,1,0.0
203510,10,2,0.0
203510,10,3,0.0
203510,10,4,0.0
203510,10,5,0.0
203510,10,6,0.0
203510,10,7,0.032
203510,10,8,0.112
203510,10,9,0.24
203510,10,10,0.368
203510,10,11,0.48
203510,10,12,0.568
203510,10,13,0.64
203510,10,14,0.64
203510,10,15,0.6
203510,10,16,0.52
203510,10,17,0.4
203510,10,18,0.24
203510,10,19,0.08
203510,10,20,0.016
203510,10,21,0.0
203510,10,22,0.0
203510,10,23,0.0
203510,10,24,0.0
203511,11,1,0.0
203511,11,2,0.0
203511,11,3,0.0
203511,11,4,0.0
203511,11,5,0.0
203511,11,6,0.0
203511,11,7,0.028
203511,11,8,0.098
203511,11,9,0.21
203511,11,10,0.322
203511,11,11,0.42
203511,11,12,0.497
203511,11,13,0.56
203511,11,14,0.56
203511,11,15,0.525
203511,11,16,0.455
203511,11,17,0.35
203511,11,18,0.21
203511,11,19,0.07
203511,11,20,0.014
203511,11,21,0.0
203511,11,22,0.0
203511,11,23,0.0
203511,11,24,0.0
203512,12,1,0.0
203512,12,2,0.0
203512,12,3,0.0
203512,12,4,0.0
203512,12,5,0.0
203512,12,6,0.0
203512,12,7,0.026
203512,12,8,0.091
203512,12,9,0.195
203512,12,10,0.299
203512,12,11,0.39
203512,12,12,0.4615
203512,12,13,0.52
203512,12,14,0.52
203512,12,15,0.4875
203512,12,16,0.4225
203512,12,17,0.325
203512,12,18,0.195
203512,12,19,0.065
203512,12,20,0.013
203512,12,21,0.0
203512,12,22,0.0
203512,12,23,0.0
203512,12,24,0.0
